formatted_cust_id,cust_numeric_suffix,cust_id_length,balance,balance_frequency,purchases,oneoff_purchases,installments_purchases,cash_advance,purchases_frequency,oneoff_purchases_frequency,purchases_installments_frequency,cash_advance_frequency,cash_advance_trx,purchases_trx,credit_limit,payments,minimum_payments,prc_full_payment,tenure,tenure_numeric,snapshot_month,balance_tier,account_status_desc,purchase_rank
CUST_10019,10019,6,1989.072228,1.00000,504.35,166.00,338.35,0.00,0.66667,0.08333,0.58333,0.00000,0,9,13000.00,1720.84,744.61,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3401
CUST_10020,10020,6,3577.970933,1.00000,398.64,0.00,398.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,4000.00,1053.98,12465.55,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3815
CUST_10021,10021,6,2016.684686,1.00000,176.68,0.00,176.68,0.00,0.66667,0.00000,0.66667,0.00000,0,8,2000.00,223.07,13557.30,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,4911
CUST_10022,10022,6,6369.531318,1.00000,6359.95,5910.04,449.91,229.03,1.00000,0.91667,1.00000,0.33333,6,92,11250.00,2077.96,1659.78,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,171
CUST_10023,10023,6,132.342240,0.63636,815.90,0.00,815.90,0.00,1.00000,0.00000,1.00000,0.00000,0,17,1800.00,2359.63,86.33,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,2588
CUST_10024,10024,6,3800.151377,0.81818,4248.35,3454.56,793.79,7974.42,1.00000,0.08333,0.91667,0.33333,13,13,9000.00,9479.04,1425.43,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,386
CUST_10025,10025,6,5368.571219,1.00000,0.00,0.00,0.00,798.95,0.00000,0.00000,0.00000,0.36364,4,0,6000.00,1422.73,1657.00,0.00000,11,11,2026-09-01 00:00:00+00,High Balance,active_credit_customer,241
CUST_10026,10026,6,169.781679,1.00000,399.60,0.00,399.60,0.00,1.00000,0.00000,1.00000,0.00000,0,12,3000.00,215.31,163.01,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,3812
CUST_10027,10027,6,1615.967240,1.00000,102.00,102.00,0.00,244.84,0.16667,0.16667,0.00000,0.25000,5,2,1700.00,890.18,971.18,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5337
CUST_10028,10028,6,125.694817,1.00000,233.28,0.00,233.28,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1000.00,207.77,164.75,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,4597
CUST_10029,10029,6,7152.864372,1.00000,387.05,204.55,182.50,2236.15,0.66667,0.16667,0.41667,0.83333,16,8,10500.00,1601.45,1648.85,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,3865
CUST_10030,10030,6,22.063490,1.00000,100.00,0.00,100.00,0.00,0.41667,0.00000,0.41667,0.00000,0,5,6900.00,160.77,159.68,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5349
CUST_10031,10031,6,12136.219960,1.00000,3038.01,1013.20,2024.81,3183.58,1.00000,0.16667,1.00000,0.50000,10,64,13000.00,4230.32,3292.02,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,659
CUST_10032,10032,6,1162.273324,1.00000,1347.71,400.00,947.71,175.82,1.00000,0.08333,1.00000,0.16667,2,45,6000.00,646.00,256.85,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1735
CUST_10033,10033,6,6732.823064,1.00000,324.95,324.95,0.00,1189.53,0.08333,0.08333,0.00000,0.16667,3,3,10500.00,1720.12,2506.75,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,4141
CUST_10034,10034,6,125.660453,1.00000,636.79,636.79,0.00,0.00,0.91667,0.91667,0.00000,0.00000,0,11,1200.00,423.45,196.30,0.30000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,2995
CUST_10035,10035,6,3517.101616,0.72727,547.28,0.00,547.28,0.00,1.00000,0.00000,1.00000,0.00000,0,14,11000.00,8735.61,17862.56,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3261
CUST_10036,10036,6,1656.350781,1.00000,0.00,0.00,0.00,99.26,0.00000,0.00000,0.00000,0.08333,1,0,1800.00,351.50,634.57,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10037,10037,6,7427.076941,1.00000,0.00,0.00,0.00,8873.38,0.00000,0.00000,0.00000,0.72727,11,0,9000.00,1636.36,1986.84,0.00000,11,11,2026-09-01 00:00:00+00,High Balance,active_credit_customer,241
CUST_10038,10038,6,4047.480828,1.00000,2380.55,1642.17,738.38,1697.66,0.75000,0.50000,0.75000,0.33333,7,41,5000.00,1617.89,1541.14,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,926
CUST_10039,10039,6,6269.418144,1.00000,204.00,204.00,0.00,2925.70,0.08333,0.08333,0.00000,0.33333,12,2,9000.00,1237.11,2049.41,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,4761
CUST_10040,10040,6,1411.602230,0.45455,963.24,963.24,0.00,6173.68,0.08333,0.08333,0.00000,0.33333,6,6,7500.00,20071.08,719.95,0.33333,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2314
CUST_10041,10041,6,663.447810,0.72727,0.00,0.00,0.00,3133.06,0.00000,0.00000,0.00000,0.25000,3,0,1800.00,3067.06,283.33,0.16667,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5984
CUST_10043,10043,6,784.889762,0.90909,1526.59,786.30,740.29,2188.42,0.58333,0.41667,0.33333,0.25000,11,27,3000.00,1262.31,363.14,0.11111,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1540
CUST_10044,10044,6,4104.710798,1.00000,203.82,203.82,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,4500.00,868.28,1801.26,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,4762
CUST_10045,10045,6,1360.742377,1.00000,0.00,0.00,0.00,1481.59,0.00000,0.00000,0.00000,0.08333,1,0,1500.00,378.29,321.35,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10046,10046,6,5315.945594,1.00000,1525.44,469.80,1055.64,0.00,1.00000,0.33333,1.00000,0.00000,0,20,8500.00,1430.34,1318.71,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,1543
CUST_10047,10047,6,2242.311686,1.00000,437.00,97.00,340.00,184.65,0.33333,0.08333,0.33333,0.16667,2,5,2400.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3656
CUST_10048,10048,6,474.447149,0.50000,109.74,0.00,109.74,1013.66,0.37500,0.00000,0.25000,0.12500,1,3,1700.00,176.01,147.20,0.00000,8,8,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,115
CUST_10049,10049,6,3910.111237,1.00000,0.00,0.00,0.00,1980.87,0.00000,0.00000,0.00000,0.50000,7,0,4200.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10050,10050,6,229.867179,1.00000,2390.60,1402.93,987.67,0.00,1.00000,0.66667,1.00000,0.00000,0,87,3300.00,2543.95,175.66,0.91667,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,923
CUST_10051,10051,6,863.809833,1.00000,507.50,507.50,0.00,695.10,0.16667,0.16667,0.00000,0.08333,2,3,4000.00,587.87,286.45,0.08333,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,3393
CUST_10052,10052,6,4931.331857,1.00000,901.42,646.07,255.35,8530.65,0.62500,0.37500,0.25000,0.87500,37,9,12000.00,8113.30,1012.42,0.00000,8,8,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,33
CUST_10053,10053,6,1078.888565,1.00000,3107.85,2221.74,886.11,0.00,0.66667,0.58333,0.50000,0.00000,0,18,2500.00,1399.83,1322.45,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,636
CUST_10054,10054,6,1565.681099,1.00000,0.00,0.00,0.00,321.36,0.00000,0.00000,0.00000,0.25000,3,0,3500.00,691.83,581.48,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10055,10055,6,464.674156,0.88889,1979.22,1979.22,0.00,1981.27,0.66667,0.66667,0.00000,0.11111,1,11,3000.00,3110.05,132.45,0.20000,9,9,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,16
CUST_10056,10056,6,6.660517,0.63636,310.00,0.00,310.00,0.00,0.66667,0.00000,0.66667,0.00000,0,8,1000.00,417.02,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,4216
CUST_10057,10057,6,1311.995984,1.00000,1283.90,1283.90,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,6,6000.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1818
CUST_10058,10058,6,3625.218146,1.00000,313.27,313.27,0.00,668.47,0.25000,0.25000,0.00000,0.41667,5,4,4000.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,4194
CUST_10059,10059,6,2386.330629,1.00000,5217.62,4789.09,428.53,0.00,0.91667,0.91667,0.50000,0.00000,0,42,7500.00,5678.73,1311.51,0.08333,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,260
CUST_10060,10060,6,3971.138765,1.00000,0.00,0.00,0.00,224.58,0.00000,0.00000,0.00000,0.18182,3,0,4000.00,764.94,1600.21,0.00000,11,11,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,241
CUST_10061,10061,6,5493.904060,1.00000,229.00,0.00,229.00,970.59,0.41667,0.00000,0.33333,0.33333,4,6,6000.00,2110.56,1895.03,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,4624
CUST_10062,10062,6,1879.114033,0.72727,113.00,113.00,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,6500.00,3509.69,548.11,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5277
CUST_10063,10063,6,1555.793701,1.00000,66.20,66.20,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1600.00,338.08,837.22,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5597
CUST_10064,10064,6,809.582978,0.90909,0.00,0.00,0.00,3819.67,0.00000,0.00000,0.00000,0.54546,7,0,4150.00,4372.15,241.65,0.09091,11,11,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,241
CUST_10065,10065,6,7.152356,0.09091,840.00,840.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1600.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,2535
CUST_10067,10067,6,1923.886805,1.00000,1887.64,0.00,1887.64,1605.95,1.00000,0.00000,1.00000,0.08333,4,61,1850.00,3688.05,3267.00,0.08333,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1229
CUST_10068,10068,6,1758.059987,1.00000,412.33,325.21,87.12,0.00,0.58333,0.33333,0.16667,0.00000,0,11,1800.00,777.45,897.91,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3760
CUST_10069,10069,6,809.847455,0.87500,0.00,0.00,0.00,908.42,0.00000,0.00000,0.00000,0.12500,1,0,1500.00,146.07,179.41,0.00000,8,8,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,135
CUST_10070,10070,6,1576.305029,1.00000,0.00,0.00,0.00,382.91,0.00000,0.00000,0.00000,0.41667,6,0,2500.00,540.02,352.88,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10071,10071,6,3990.523579,1.00000,263.50,190.60,72.90,0.00,0.66667,0.08333,0.58333,0.00000,0,8,6000.00,6876.84,1001.61,0.08333,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,4438
CUST_10072,10072,6,1699.435486,1.00000,1363.69,1363.69,0.00,0.00,0.33333,0.33333,0.00000,0.00000,0,4,1700.00,1623.82,923.51,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,1720
CUST_10073,10073,6,5487.683724,1.00000,419.10,0.00,419.10,625.40,0.91667,0.00000,0.83333,0.33333,4,11,6250.00,1288.21,2180.88,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,3735
CUST_10074,10074,6,2990.422186,0.90909,4523.27,1664.09,2859.18,27296.49,0.66667,0.50000,0.58333,0.83333,27,33,7000.00,28232.69,1107.03,0.45455,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,344
CUST_10075,10075,6,656.013010,1.00000,0.00,0.00,0.00,1474.35,0.00000,0.00000,0.00000,0.12500,3,0,7000.00,910.46,140.98,0.25000,8,8,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,135
CUST_10077,10077,6,1808.972419,1.00000,713.90,503.08,210.82,0.00,0.50000,0.10000,0.40000,0.00000,0,8,2250.00,889.02,622.76,0.00000,10,10,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,65
CUST_10078,10078,6,532.334517,0.90909,791.94,516.64,275.30,0.00,0.27273,0.09091,0.18182,0.00000,0,7,6000.00,1305.18,175.51,0.00000,11,11,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,74
CUST_10079,10079,6,5860.433624,1.00000,561.87,249.50,312.37,0.00,0.83333,0.16667,0.75000,0.00000,0,14,6000.00,1990.04,2161.43,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,3204
CUST_10080,10080,6,1727.638449,1.00000,606.11,606.11,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,17,11000.00,2959.92,623.66,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3072
CUST_10081,10081,6,578.809679,1.00000,320.00,0.00,320.00,0.00,0.75000,0.00000,0.66667,0.00000,0,8,1500.00,1438.91,190.19,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,4168
CUST_10082,10082,6,1205.716678,1.00000,0.00,0.00,0.00,38.33,0.00000,0.00000,0.00000,0.08333,1,0,1200.00,29.28,8242.69,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10083,10083,6,6593.820644,1.00000,388.66,388.66,0.00,4621.93,0.58333,0.58333,0.00000,0.41667,7,7,7000.00,1624.58,2503.40,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,3857
CUST_10084,10084,6,17.357563,0.90909,244.85,40.21,204.64,0.00,0.66667,0.16667,0.58333,0.00000,0,13,5000.00,357.80,121.52,0.18182,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,4546
CUST_10085,10085,6,81.584711,0.27273,0.00,0.00,0.00,2985.30,0.00000,0.00000,0.00000,0.16667,5,0,9500.00,116.57,164.69,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5984
CUST_10086,10086,6,3.786310,0.63636,133.05,28.20,104.85,0.00,0.41667,0.16667,0.25000,0.00000,0,5,12000.00,210.05,99.53,0.44444,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5152
CUST_10087,10087,6,42.464430,0.54546,396.00,0.00,396.00,0.00,0.50000,0.00000,0.41667,0.00000,0,12,1200.00,725.61,140.81,1.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,3826
CUST_10088,10088,6,1935.362486,1.00000,4915.60,4515.34,400.26,293.84,1.00000,1.00000,0.33333,0.08333,1,50,9000.00,4921.07,594.76,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,295
CUST_10089,10089,6,134.917202,1.00000,1247.80,1247.80,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,22,16500.00,1275.23,171.36,1.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1862
CUST_10090,10090,6,7069.950386,1.00000,1603.78,1445.14,158.64,5626.00,1.00000,0.83333,1.00000,0.75000,23,23,11000.00,4589.87,1876.26,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,1473
CUST_10092,10092,6,8181.251131,1.00000,2258.01,1318.78,939.23,5251.23,1.00000,0.75000,1.00000,0.75000,21,60,13500.00,3021.58,2074.58,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,995
CUST_10093,10093,6,4037.305658,1.00000,45.00,45.00,0.00,104.24,0.08333,0.08333,0.00000,0.08333,1,1,4500.00,1073.84,968.94,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5784
CUST_10094,10094,6,6110.265264,1.00000,0.00,0.00,0.00,2717.25,0.00000,0.00000,0.00000,0.41667,14,0,6500.00,1502.21,2864.38,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,5984
CUST_10095,10095,6,9381.255094,1.00000,5100.07,1147.83,3952.24,370.74,1.00000,0.25000,0.91667,0.08333,1,46,9000.00,6409.50,9827.05,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,271
CUST_10096,10096,6,1977.007090,1.00000,1032.04,226.90,805.14,4335.92,0.90909,0.09091,0.81818,0.54546,21,17,4000.00,3056.42,910.71,0.09091,11,11,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,52
CUST_10097,10097,6,1321.476080,1.00000,45.65,45.65,0.00,495.66,0.08333,0.08333,0.00000,0.08333,1,1,1800.00,440.84,312.56,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5757
CUST_10098,10098,6,1307.717841,1.00000,405.60,405.60,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,2400.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3783
CUST_10099,10099,6,2329.485768,1.00000,213.34,213.34,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,3,2400.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,4710
CUST_10100,10100,6,1139.782882,1.00000,0.00,0.00,0.00,120.61,0.00000,0.00000,0.00000,0.08333,1,0,1200.00,151.82,2906.11,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10101,10101,6,1619.955708,1.00000,739.44,739.44,0.00,0.00,0.66667,0.66667,0.00000,0.00000,0,11,6000.00,417.13,389.14,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2755
CUST_10102,10102,6,3505.671311,1.00000,0.00,0.00,0.00,1713.98,0.00000,0.00000,0.00000,0.50000,6,0,4000.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10103,10103,6,4.708041,0.36364,79.00,0.00,79.00,0.00,0.25000,0.00000,0.16667,0.00000,0,3,7000.00,217.82,121.78,1.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5507
CUST_10104,10104,6,0.000000,0.00000,0.00,0.00,0.00,89.85,0.00000,0.00000,0.00000,0.14286,1,0,3000.00,138.02,0.00,0.00000,7,7,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,130
CUST_10105,10105,6,4.875885,0.66667,20.00,20.00,0.00,0.00,0.11111,0.11111,0.00000,0.00000,0,1,1500.00,26.49,60.91,0.00000,9,9,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,118
CUST_10106,10106,6,23.394411,0.27273,1346.28,0.00,1346.28,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2000.00,712.15,54.79,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1739
CUST_10107,10107,6,3539.801912,1.00000,2823.80,1540.41,1283.39,0.00,0.91667,0.91667,0.83333,0.00000,0,75,5700.00,9172.79,2103.80,0.08333,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,724
CUST_10108,10108,6,0.624240,0.09091,389.96,0.00,389.96,0.00,1.00000,0.00000,1.00000,0.00000,0,31,4500.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,3852
CUST_10109,10109,6,862.072380,1.00000,0.00,0.00,0.00,920.31,0.00000,0.00000,0.00000,0.08333,1,0,4000.00,2236.89,214.83,0.08333,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,5984
CUST_10110,10110,6,2441.542991,1.00000,808.00,808.00,0.00,959.86,0.25000,0.25000,0.00000,0.33333,6,4,4000.00,532.74,1026.98,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,2597
CUST_10111,10111,6,408.656365,1.00000,941.64,0.00,941.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2500.00,1097.79,176.61,0.08333,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,2352
CUST_10112,10112,6,4986.400804,1.00000,0.00,0.00,0.00,5439.47,0.00000,0.00000,0.00000,0.58333,40,0,8000.00,1241.54,1439.23,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10113,10113,6,1246.624558,1.00000,423.70,177.64,246.06,412.40,0.66667,0.16667,0.50000,0.08333,2,10,2000.00,577.05,498.37,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,3712
CUST_10114,10114,6,6644.201651,1.00000,4478.75,2721.59,1757.16,7205.52,1.00000,0.91667,1.00000,0.58333,21,64,9000.00,10857.94,2469.57,0.08333,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,348
CUST_10115,10115,6,156.216753,0.81818,1354.86,585.63,769.23,0.00,0.91667,0.33333,0.83333,0.00000,0,34,5500.00,858.98,108.32,0.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1725
CUST_10116,10116,6,3393.351236,1.00000,0.00,0.00,0.00,1008.35,0.00000,0.00000,0.00000,0.08333,2,0,4200.00,0.00,0.00,0.00000,12,12,2026-09-01 00:00:00+00,Medium Balance,active_credit_customer,5984
CUST_10117,10117,6,5322.994094,1.00000,2812.20,857.12,1955.08,2510.35,1.00000,0.25000,1.00000,0.33333,8,81,8500.00,1509.42,1834.03,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,730
CUST_10118,10118,6,6458.562090,1.00000,0.00,0.00,0.00,3360.23,0.00000,0.00000,0.00000,0.25000,11,0,7000.00,1277.77,2760.12,0.00000,12,12,2026-09-01 00:00:00+00,High Balance,active_credit_customer,5984
CUST_10119,10119,6,175.341651,0.81818,1508.90,1252.36,256.54,0.00,0.66667,0.41667,0.33333,0.00000,0,14,5000.00,1884.23,136.64,1.00000,12,12,2026-09-01 00:00:00+00,Low Balance,active_credit_customer,1558
