CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10025,5368.571219,1.00000,0.00,0.00,0.00,798.95,0.00000,0.00000,0.00000,0.36364,4,0,6000.00,1422.73,1657.00,0.00000,11
C10026,169.781679,1.00000,399.60,0.00,399.60,0.00,1.00000,0.00000,1.00000,0.00000,0,12,3000.00,215.31,163.01,0.00000,12
C10027,1615.967240,1.00000,102.00,102.00,0.00,244.84,0.16667,0.16667,0.00000,0.25000,5,2,1700.00,890.18,971.18,0.00000,12
C10028,125.694817,1.00000,233.28,0.00,233.28,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1000.00,207.77,164.75,0.00000,12
C10029,7152.864372,1.00000,387.05,204.55,182.50,2236.15,0.66667,0.16667,0.41667,0.83333,16,8,10500.00,1601.45,1648.85,0.00000,12
C10030,22.063490,1.00000,100.00,0.00,100.00,0.00,0.41667,0.00000,0.41667,0.00000,0,5,6900.00,160.77,159.68,0.00000,12
C10031,12136.219960,1.00000,3038.01,1013.20,2024.81,3183.58,1.00000,0.16667,1.00000,0.50000,10,64,13000.00,4230.32,3292.02,0.00000,12
C10032,1162.273324,1.00000,1347.71,400.00,947.71,175.82,1.00000,0.08333,1.00000,0.16667,2,45,6000.00,646.00,256.85,0.00000,12
C10033,6732.823064,1.00000,324.95,324.95,0.00,1189.53,0.08333,0.08333,0.00000,0.16667,3,3,10500.00,1720.12,2506.75,0.00000,12
C10034,125.660453,1.00000,636.79,636.79,0.00,0.00,0.91667,0.91667,0.00000,0.00000,0,11,1200.00,423.45,196.30,0.30000,12
C10035,3517.101616,0.72727,547.28,0.00,547.28,0.00,1.00000,0.00000,1.00000,0.00000,0,14,11000.00,8735.61,17862.56,0.00000,12
C10036,1656.350781,1.00000,0.00,0.00,0.00,99.26,0.00000,0.00000,0.00000,0.08333,1,0,1800.00,351.50,634.57,0.00000,12
C10037,7427.076941,1.00000,0.00,0.00,0.00,8873.38,0.00000,0.00000,0.00000,0.72727,11,0,9000.00,1636.36,1986.84,0.00000,11
C10038,4047.480828,1.00000,2380.55,1642.17,738.38,1697.66,0.75000,0.50000,0.75000,0.33333,7,41,5000.00,1617.89,1541.14,0.00000,12
C10039,6269.418144,1.00000,204.00,204.00,0.00,2925.70,0.08333,0.08333,0.00000,0.33333,12,2,9000.00,1237.11,2049.41,0.00000,12
C10040,1411.602230,0.45455,963.24,963.24,0.00,6173.68,0.08333,0.08333,0.00000,0.33333,6,6,7500.00,20071.08,719.95,0.33333,12
C10041,663.447810,0.72727,0.00,0.00,0.00,3133.06,0.00000,0.00000,0.00000,0.25000,3,0,1800.00,3067.06,283.33,0.16667,12
C10043,784.889762,0.90909,1526.59,786.30,740.29,2188.42,0.58333,0.41667,0.33333,0.25000,11,27,3000.00,1262.31,363.14,0.11111,12
C10044,4104.710798,1.00000,203.82,203.82,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,4500.00,868.28,1801.26,0.00000,12
C10045,1360.742377,1.00000,0.00,0.00,0.00,1481.59,0.00000,0.00000,0.00000,0.08333,1,0,1500.00,378.29,321.35,0.00000,12
C10046,5315.945594,1.00000,1525.44,469.80,1055.64,0.00,1.00000,0.33333,1.00000,0.00000,0,20,8500.00,1430.34,1318.71,0.00000,12
C10047,2242.311686,1.00000,437.00,97.00,340.00,184.65,0.33333,0.08333,0.33333,0.16667,2,5,2400.00,0.00,,0.00000,12
C10048,474.447149,0.50000,109.74,0.00,109.74,1013.66,0.37500,0.00000,0.25000,0.12500,1,3,1700.00,176.01,147.20,0.00000,8
C10049,3910.111237,1.00000,0.00,0.00,0.00,1980.87,0.00000,0.00000,0.00000,0.50000,7,0,4200.00,0.00,,0.00000,12
C10050,229.867179,1.00000,2390.60,1402.93,987.67,0.00,1.00000,0.66667,1.00000,0.00000,0,87,3300.00,2543.95,175.66,0.91667,12
C10051,863.809833,1.00000,507.50,507.50,0.00,695.10,0.16667,0.16667,0.00000,0.08333,2,3,4000.00,587.87,286.45,0.08333,12
C10052,4931.331857,1.00000,901.42,646.07,255.35,8530.65,0.62500,0.37500,0.25000,0.87500,37,9,12000.00,8113.30,1012.42,0.00000,8
C10053,1078.888565,1.00000,3107.85,2221.74,886.11,0.00,0.66667,0.58333,0.50000,0.00000,0,18,2500.00,1399.83,1322.45,0.00000,12
C10054,1565.681099,1.00000,0.00,0.00,0.00,321.36,0.00000,0.00000,0.00000,0.25000,3,0,3500.00,691.83,581.48,0.00000,12
C10055,464.674156,0.88889,1979.22,1979.22,0.00,1981.27,0.66667,0.66667,0.00000,0.11111,1,11,3000.00,3110.05,132.45,0.20000,9
C10056,6.660517,0.63636,310.00,0.00,310.00,0.00,0.66667,0.00000,0.66667,0.00000,0,8,1000.00,417.02,,0.00000,12
C10057,1311.995984,1.00000,1283.90,1283.90,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,6,6000.00,0.00,,0.00000,12
C10058,3625.218146,1.00000,313.27,313.27,0.00,668.47,0.25000,0.25000,0.00000,0.41667,5,4,4000.00,0.00,,0.00000,12
C10059,2386.330629,1.00000,5217.62,4789.09,428.53,0.00,0.91667,0.91667,0.50000,0.00000,0,42,7500.00,5678.73,1311.51,0.08333,12
C10060,3971.138765,1.00000,0.00,0.00,0.00,224.58,0.00000,0.00000,0.00000,0.18182,3,0,4000.00,764.94,1600.21,0.00000,11
C10061,5493.904060,1.00000,229.00,0.00,229.00,970.59,0.41667,0.00000,0.33333,0.33333,4,6,6000.00,2110.56,1895.03,0.00000,12
C10062,1879.114033,0.72727,113.00,113.00,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,6500.00,3509.69,548.11,0.00000,12
C10063,1555.793701,1.00000,66.20,66.20,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1600.00,338.08,837.22,0.00000,12
C10064,809.582978,0.90909,0.00,0.00,0.00,3819.67,0.00000,0.00000,0.00000,0.54546,7,0,4150.00,4372.15,241.65,0.09091,11
C10065,7.152356,0.09091,840.00,840.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,1,1600.00,0.00,,0.00000,12
C10067,1923.886805,1.00000,1887.64,0.00,1887.64,1605.95,1.00000,0.00000,1.00000,0.08333,4,61,1850.00,3688.05,3267.00,0.08333,12
C10068,1758.059987,1.00000,412.33,325.21,87.12,0.00,0.58333,0.33333,0.16667,0.00000,0,11,1800.00,777.45,897.91,0.00000,12
C10069,809.847455,0.87500,0.00,0.00,0.00,908.42,0.00000,0.00000,0.00000,0.12500,1,0,1500.00,146.07,179.41,0.00000,8
C10070,1576.305029,1.00000,0.00,0.00,0.00,382.91,0.00000,0.00000,0.00000,0.41667,6,0,2500.00,540.02,352.88,0.00000,12
C10071,3990.523579,1.00000,263.50,190.60,72.90,0.00,0.66667,0.08333,0.58333,0.00000,0,8,6000.00,6876.84,1001.61,0.08333,12
C10072,1699.435486,1.00000,1363.69,1363.69,0.00,0.00,0.33333,0.33333,0.00000,0.00000,0,4,1700.00,1623.82,923.51,0.00000,12
C10073,5487.683724,1.00000,419.10,0.00,419.10,625.40,0.91667,0.00000,0.83333,0.33333,4,11,6250.00,1288.21,2180.88,0.00000,12
C10074,2990.422186,0.90909,4523.27,1664.09,2859.18,27296.49,0.66667,0.50000,0.58333,0.83333,27,33,7000.00,28232.69,1107.03,0.45455,12
C10075,656.013010,1.00000,0.00,0.00,0.00,1474.35,0.00000,0.00000,0.00000,0.12500,3,0,7000.00,910.46,140.98,0.25000,8
C10077,1808.972419,1.00000,713.90,503.08,210.82,0.00,0.50000,0.10000,0.40000,0.00000,0,8,2250.00,889.02,622.76,0.00000,10
C10078,532.334517,0.90909,791.94,516.64,275.30,0.00,0.27273,0.09091,0.18182,0.00000,0,7,6000.00,1305.18,175.51,0.00000,11
C10079,5860.433624,1.00000,561.87,249.50,312.37,0.00,0.83333,0.16667,0.75000,0.00000,0,14,6000.00,1990.04,2161.43,0.00000,12
C10080,1727.638449,1.00000,606.11,606.11,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,17,11000.00,2959.92,623.66,0.00000,12
C10081,578.809679,1.00000,320.00,0.00,320.00,0.00,0.75000,0.00000,0.66667,0.00000,0,8,1500.00,1438.91,190.19,0.00000,12
C10082,1205.716678,1.00000,0.00,0.00,0.00,38.33,0.00000,0.00000,0.00000,0.08333,1,0,1200.00,29.28,8242.69,0.00000,12
C10083,6593.820644,1.00000,388.66,388.66,0.00,4621.93,0.58333,0.58333,0.00000,0.41667,7,7,7000.00,1624.58,2503.40,0.00000,12
C10084,17.357563,0.90909,244.85,40.21,204.64,0.00,0.66667,0.16667,0.58333,0.00000,0,13,5000.00,357.80,121.52,0.18182,12
C10085,81.584711,0.27273,0.00,0.00,0.00,2985.30,0.00000,0.00000,0.00000,0.16667,5,0,9500.00,116.57,164.69,0.00000,12
C10086,3.786310,0.63636,133.05,28.20,104.85,0.00,0.41667,0.16667,0.25000,0.00000,0,5,12000.00,210.05,99.53,0.44444,12
C10087,42.464430,0.54546,396.00,0.00,396.00,0.00,0.50000,0.00000,0.41667,0.00000,0,12,1200.00,725.61,140.81,1.00000,12
C10088,1935.362486,1.00000,4915.60,4515.34,400.26,293.84,1.00000,1.00000,0.33333,0.08333,1,50,9000.00,4921.07,594.76,0.00000,12
C10089,134.917202,1.00000,1247.80,1247.80,0.00,0.00,1.00000,1.00000,0.00000,0.00000,0,22,16500.00,1275.23,171.36,1.00000,12
C10090,7069.950386,1.00000,1603.78,1445.14,158.64,5626.00,1.00000,0.83333,1.00000,0.75000,23,23,11000.00,4589.87,1876.26,0.00000,12
C10092,8181.251131,1.00000,2258.01,1318.78,939.23,5251.23,1.00000,0.75000,1.00000,0.75000,21,60,13500.00,3021.58,2074.58,0.00000,12
C10093,4037.305658,1.00000,45.00,45.00,0.00,104.24,0.08333,0.08333,0.00000,0.08333,1,1,4500.00,1073.84,968.94,0.00000,12
C10094,6110.265264,1.00000,0.00,0.00,0.00,2717.25,0.00000,0.00000,0.00000,0.41667,14,0,6500.00,1502.21,2864.38,0.00000,12
C10095,9381.255094,1.00000,5100.07,1147.83,3952.24,370.74,1.00000,0.25000,0.91667,0.08333,1,46,9000.00,6409.50,9827.05,0.00000,12
C10096,1977.007090,1.00000,1032.04,226.90,805.14,4335.92,0.90909,0.09091,0.81818,0.54546,21,17,4000.00,3056.42,910.71,0.09091,11
C10097,1321.476080,1.00000,45.65,45.65,0.00,495.66,0.08333,0.08333,0.00000,0.08333,1,1,1800.00,440.84,312.56,0.00000,12
C10098,1307.717841,1.00000,405.60,405.60,0.00,0.00,0.16667,0.16667,0.00000,0.00000,0,2,2400.00,0.00,,0.00000,12
C10099,2329.485768,1.00000,213.34,213.34,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,3,2400.00,0.00,,0.00000,12
C10100,1139.782882,1.00000,0.00,0.00,0.00,120.61,0.00000,0.00000,0.00000,0.08333,1,0,1200.00,151.82,2906.11,0.00000,12
C10101,1619.955708,1.00000,739.44,739.44,0.00,0.00,0.66667,0.66667,0.00000,0.00000,0,11,6000.00,417.13,389.14,0.00000,12
C10102,3505.671311,1.00000,0.00,0.00,0.00,1713.98,0.00000,0.00000,0.00000,0.50000,6,0,4000.00,0.00,,0.00000,12
C10103,4.708041,0.36364,79.00,0.00,79.00,0.00,0.25000,0.00000,0.16667,0.00000,0,3,7000.00,217.82,121.78,1.00000,12
C10104,0.000000,0.00000,0.00,0.00,0.00,89.85,0.00000,0.00000,0.00000,0.14286,1,0,3000.00,138.02,,0.00000,7
C10105,4.875885,0.66667,20.00,20.00,0.00,0.00,0.11111,0.11111,0.00000,0.00000,0,1,1500.00,26.49,60.91,0.00000,9
C10106,23.394411,0.27273,1346.28,0.00,1346.28,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2000.00,712.15,54.79,0.00000,12
C10107,3539.801912,1.00000,2823.80,1540.41,1283.39,0.00,0.91667,0.91667,0.83333,0.00000,0,75,5700.00,9172.79,2103.80,0.08333,12
C10108,0.624240,0.09091,389.96,0.00,389.96,0.00,1.00000,0.00000,1.00000,0.00000,0,31,4500.00,0.00,,0.00000,12
C10109,862.072380,1.00000,0.00,0.00,0.00,920.31,0.00000,0.00000,0.00000,0.08333,1,0,4000.00,2236.89,214.83,0.08333,12
C10110,2441.542991,1.00000,808.00,808.00,0.00,959.86,0.25000,0.25000,0.00000,0.33333,6,4,4000.00,532.74,1026.98,0.00000,12
C10111,408.656365,1.00000,941.64,0.00,941.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,2500.00,1097.79,176.61,0.08333,12
C10112,4986.400804,1.00000,0.00,0.00,0.00,5439.47,0.00000,0.00000,0.00000,0.58333,40,0,8000.00,1241.54,1439.23,0.00000,12
C10113,1246.624558,1.00000,423.70,177.64,246.06,412.40,0.66667,0.16667,0.50000,0.08333,2,10,2000.00,577.05,498.37,0.00000,12
C10114,6644.201651,1.00000,4478.75,2721.59,1757.16,7205.52,1.00000,0.91667,1.00000,0.58333,21,64,9000.00,10857.94,2469.57,0.08333,12
C10115,156.216753,0.81818,1354.86,585.63,769.23,0.00,0.91667,0.33333,0.83333,0.00000,0,34,5500.00,858.98,108.32,0.00000,12
C10116,3393.351236,1.00000,0.00,0.00,0.00,1008.35,0.00000,0.00000,0.00000,0.08333,2,0,4200.00,0.00,,0.00000,12
C10117,5322.994094,1.00000,2812.20,857.12,1955.08,2510.35,1.00000,0.25000,1.00000,0.33333,8,81,8500.00,1509.42,1834.03,0.00000,12
C10118,6458.562090,1.00000,0.00,0.00,0.00,3360.23,0.00000,0.00000,0.00000,0.25000,11,0,7000.00,1277.77,2760.12,0.00000,12
C10119,175.341651,0.81818,1508.90,1252.36,256.54,0.00,0.66667,0.41667,0.33333,0.00000,0,14,5000.00,1884.23,136.64,1.00000,12
C10120,680.195157,1.00000,1045.57,667.95,377.62,0.00,1.00000,0.58333,1.00000,0.00000,0,25,3000.00,552.43,207.72,0.00000,12
C10121,223.763616,0.63636,2309.78,0.00,2309.78,0.00,0.58333,0.00000,0.50000,0.00000,0,12,6500.00,1206.81,99.37,0.33333,12
C10122,1785.626943,1.00000,0.00,0.00,0.00,576.21,0.00000,0.00000,0.00000,0.25000,10,0,1800.00,687.69,2439.14,0.00000,12
C10123,54.933231,0.27273,495.00,0.00,495.00,0.00,0.16667,0.00000,0.16667,0.00000,0,2,7000.00,1969.85,147.05,1.00000,12
C10124,2662.629852,1.00000,0.00,0.00,0.00,509.02,0.00000,0.00000,0.00000,0.33333,4,0,3000.00,932.42,709.21,0.00000,12
C10125,8504.876253,1.00000,6724.26,4100.08,2624.18,1686.60,1.00000,0.91667,1.00000,0.50000,10,85,17000.00,1888.76,2167.45,0.00000,12
C10126,1464.324632,1.00000,1174.39,1174.39,0.00,0.00,0.25000,0.25000,0.00000,0.00000,0,8,9000.00,0.00,,0.00000,12
C10127,2114.158683,1.00000,5580.85,0.00,5580.85,0.00,1.00000,0.00000,1.00000,0.00000,0,75,8500.00,3564.98,630.00,0.00000,12
C10128,2876.396444,1.00000,0.00,0.00,0.00,998.85,0.00000,0.00000,0.00000,0.16667,2,0,3200.00,1065.43,1412.65,0.00000,12
C10130,14224.115410,1.00000,0.00,0.00,0.00,4614.43,0.00000,0.00000,0.00000,0.33333,9,0,19000.00,3066.61,3406.26,0.00000,12
C10131,2392.917738,1.00000,12462.44,12462.44,0.00,0.00,0.91667,0.91667,0.00000,0.00000,0,217,2800.00,11628.72,2000.99,0.00000,12
C10132,57.453201,0.75000,0.00,0.00,0.00,272.71,0.00000,0.00000,0.00000,0.12500,1,0,1200.00,385.85,84.70,0.16667,8
C10133,4245.855092,1.00000,1957.30,1077.30,880.00,0.00,0.83333,0.16667,0.58333,0.00000,0,19,5000.00,1004.35,1086.43,0.00000,12
C10134,11167.234030,1.00000,150.64,150.64,0.00,8362.15,0.08333,0.08333,0.00000,0.50000,14,1,17000.00,2606.06,2894.08,0.00000,12
C10135,69.405545,0.09091,0.00,0.00,0.00,2799.71,0.00000,0.00000,0.00000,0.08333,3,0,13000.00,0.00,,0.00000,12
C10136,116.654149,0.27273,907.00,907.00,0.00,273.56,0.25000,0.25000,0.00000,0.08333,1,8,5000.00,0.00,,0.00000,12
C10137,4637.848144,1.00000,1271.12,351.54,919.58,0.00,0.83333,0.25000,0.83333,0.00000,0,33,5000.00,1906.03,3572.28,0.00000,12
C10138,24.284970,0.63636,250.60,0.00,250.60,0.00,0.58333,0.00000,0.50000,0.00000,0,7,3000.00,319.76,173.63,0.00000,12
C10139,9354.060450,1.00000,796.33,796.33,0.00,13748.47,0.08333,0.08333,0.00000,0.66667,16,1,13000.00,10664.66,2600.88,0.08333,12
C10140,231.108995,1.00000,440.00,0.00,440.00,0.00,0.91667,0.00000,0.91667,0.00000,0,22,4000.00,554.12,185.09,0.00000,12
C10141,1562.633343,1.00000,1330.62,1169.63,160.99,0.00,0.50000,0.16667,0.25000,0.00000,0,8,2000.00,1020.78,709.61,0.00000,12
C10142,2494.868559,1.00000,5491.79,1390.50,4101.29,0.00,1.00000,0.50000,1.00000,0.00000,0,52,17000.00,1015.31,615.92,0.00000,12
C10143,706.132889,1.00000,897.86,714.52,183.34,586.27,0.91667,0.33333,0.91667,0.25000,3,18,1200.00,972.36,184.52,0.00000,12
C10144,19043.138560,1.00000,22009.92,9449.07,12560.85,0.00,1.00000,0.75000,1.00000,0.00000,0,216,18000.00,23018.58,18621.01,0.00000,12
C10145,2235.103331,1.00000,720.60,720.60,0.00,723.31,1.00000,1.00000,0.00000,0.08333,1,12,2500.00,1061.29,689.12,0.00000,12
C10146,947.130810,1.00000,197.06,148.66,48.40,0.00,0.33333,0.25000,0.16667,0.00000,0,5,1000.00,492.20,509.38,0.00000,12
C10147,764.042156,0.81818,0.00,0.00,0.00,1307.10,0.00000,0.00000,0.00000,0.16667,3,0,7500.00,1566.81,172.96,0.00000,12
C10148,5347.814547,1.00000,0.00,0.00,0.00,4002.35,0.00000,0.00000,0.00000,0.50000,9,0,7000.00,0.00,,0.00000,12
C10149,10598.467770,1.00000,2084.48,1300.48,784.00,0.00,0.66667,0.41667,0.58333,0.00000,0,13,21500.00,3219.62,3068.13,0.00000,12
C10150,2163.678757,1.00000,5779.36,3436.53,2342.83,0.00,1.00000,1.00000,1.00000,0.00000,0,97,6500.00,4416.41,546.44,0.00000,12
C10151,3057.400553,1.00000,1025.00,1025.00,0.00,0.00,0.08333,0.08333,0.00000,0.00000,0,2,7500.00,698.85,819.68,0.00000,12
C10152,19.354559,0.90909,689.70,0.00,689.70,0.00,0.83333,0.00000,0.83333,0.00000,0,10,10000.00,746.69,,0.00000,12
C10153,264.811595,1.00000,28.65,28.65,0.00,384.26,0.08333,0.08333,0.00000,0.08333,1,1,9000.00,1235.63,194.32,0.08333,12
C10154,1108.222530,0.90909,944.96,164.96,780.00,0.00,0.50000,0.25000,0.41667,0.00000,0,9,1500.00,1955.20,992.65,0.00000,12
C10155,906.573724,1.00000,1039.20,80.00,959.20,103.10,0.83333,0.08333,0.83333,0.08333,1,11,13500.00,1855.24,468.20,0.08333,12
C10156,7679.629040,1.00000,4059.93,0.00,4059.93,555.47,0.58333,0.00000,0.50000,0.16667,7,14,7000.00,3685.61,12854.94,0.00000,12
C10157,1523.911458,1.00000,4075.37,3322.28,753.09,0.00,1.00000,1.00000,1.00000,0.00000,0,31,6500.00,2254.26,329.30,0.00000,12
C10158,49.206256,1.00000,870.24,0.00,870.24,0.00,1.00000,0.00000,1.00000,0.00000,0,24,8000.00,835.84,193.01,1.00000,12
C10159,13673.079610,1.00000,9792.23,3959.81,5832.42,2444.45,1.00000,0.75000,1.00000,0.75000,26,216,20000.00,11717.31,6042.39,0.00000,12
C10160,106.455975,0.63636,2463.12,789.53,1673.59,0.00,1.00000,0.50000,1.00000,0.00000,0,46,4000.00,2573.72,95.34,0.63636,12
C10161,119.760904,0.36364,1859.34,0.00,1859.34,0.00,0.33333,0.00000,0.25000,0.00000,0,4,20000.00,3104.28,288.90,0.25000,12
C10162,5837.105453,1.00000,3488.49,3262.25,226.24,3303.15,1.00000,1.00000,0.50000,0.75000,15,46,7900.00,0.00,,0.00000,12
C10163,1734.510004,1.00000,0.00,0.00,0.00,66.28,0.00000,0.00000,0.00000,0.16667,2,0,1800.00,363.47,2828.00,0.00000,12
C10164,2765.748281,1.00000,7283.31,5087.31,2196.00,0.00,1.00000,1.00000,0.66667,0.00000,0,77,11000.00,14373.39,1058.13,0.25000,12
C10165,1046.370410,1.00000,295.00,295.00,0.00,93.58,0.08333,0.08333,0.00000,0.08333,1,2,1200.00,439.41,362.84,0.00000,12
C10166,2737.367678,1.00000,0.00,0.00,0.00,429.69,0.00000,0.00000,0.00000,0.41667,5,0,3000.00,778.83,721.80,0.00000,12
C10167,4014.818167,1.00000,0.00,0.00,0.00,988.36,0.00000,0.00000,0.00000,0.08333,1,0,8500.00,1009.19,1177.15,0.00000,12
C10168,871.568977,1.00000,648.22,115.00,533.22,0.00,1.00000,0.08333,1.00000,0.00000,0,27,1200.00,1110.89,208.30,0.00000,12
C10169,1610.040203,1.00000,557.19,525.64,31.55,0.00,0.25000,0.08333,0.16667,0.00000,0,5,4000.00,422.71,616.01,0.00000,12
C10170,114.593817,1.00000,469.98,0.00,469.98,0.00,1.00000,0.00000,0.83333,0.00000,0,6,1000.00,367.11,86.10,0.50000,6
C10171,5800.587339,1.00000,0.00,0.00,0.00,369.95,0.00000,0.00000,0.00000,0.08333,1,0,6500.00,1346.37,1972.53,0.00000,12
C10172,823.103926,0.36364,131.64,0.00,131.64,0.00,1.00000,0.00000,1.00000,0.00000,0,12,8000.00,2916.07,243.20,0.00000,12
C10173,595.677343,1.00000,5078.14,4330.53,747.61,1424.44,0.91667,0.66667,0.75000,0.08333,1,42,15000.00,4756.65,241.89,0.91667,12
C10174,1128.124563,1.00000,924.60,0.00,924.60,0.00,1.00000,0.00000,1.00000,0.00000,0,12,1000.00,1202.71,1747.04,0.00000,12
C10175,349.441102,1.00000,1975.40,1393.50,581.90,0.00,0.66667,0.41667,0.33333,0.00000,0,17,4000.00,1795.01,167.22,0.00000,12
C10176,840.804076,0.66667,0.00,0.00,0.00,3671.78,0.00000,0.00000,0.00000,0.22222,5,0,4000.00,3621.27,193.17,0.00000,9
C10177,975.942008,1.00000,10221.35,7141.38,3079.97,1620.69,1.00000,1.00000,0.83333,0.58333,18,130,10500.00,10693.50,347.64,0.75000,12
C10178,23.111088,0.36364,300.00,0.00,300.00,0.00,0.25000,0.00000,0.16667,0.00000,0,3,12500.00,291.95,43.45,0.18182,12
C10179,2187.732265,0.85714,0.00,0.00,0.00,3905.33,0.00000,0.00000,0.00000,0.28571,9,0,3000.00,1423.79,461.37,0.20000,7
C10180,11972.011040,1.00000,5715.00,4685.54,1029.46,1626.35,1.00000,1.00000,1.00000,0.16667,3,90,14000.00,4639.51,3192.31,0.00000,12
C10181,1608.451822,1.00000,0.00,0.00,0.00,205.74,0.00000,0.00000,0.00000,0.16667,2,0,1800.00,470.57,408.80,0.00000,12
C10182,1872.926275,1.00000,766.61,766.61,0.00,1017.12,0.83333,0.83333,0.00000,0.25000,5,12,2300.00,0.00,,0.00000,12
